location,park,level,aa
Gill #3 Basement Mens,Gill,1.20,No
Trumbull #4 Men's Locker,Trumbull,4.90,No
Gompers #3 - Womens,Gompers,2.26,No
Edison #1 Lobby,Edison,12.2,No
Humboldt Basement West #3,Humboldt Basement West,1.48,No
Humboldt Basement West #2,Humboldt Basement West,6.20,No
Humboldt Basement West #1,Humboldt Basement West,55.2,Yes
Armour #4 Game Room,Armour,0.120,No
Horner #1 Lobby,Horner,0.531,No
Garfield #5 Girls Locker,Garfield,1.40,No
Mt. Greenwood Hall #2,Mt. Greenwood Hall,0.383,No
Mt. Greenwood Hall #3,Mt. Greenwood Hall,0.518,No
Mt. Greenwood Hall #1,Mt. Greenwood Hall,0.271,No
Women's #3 3rd Floor,Women's,0.120,No
McKinley #1 Men's,McKinley,0.888,No
Mann #4 Downstairs,Mann,1.71,No
Armour #1 Lobby,Armour,0.597,No
Hayes #1 Hallway,Hayes,1.22,No
ATH #5 Girl's Locker,ATH,0.365,No
Palmer #1 Main Lobby,Palmer,0.190,No
Chopin #1 Lobby,Chopin,1.37,No
ATH #3 Inside Gym,ATH,1.82,No
Russell Sq #1 Hall,Russell Sq,0.721,No
West Lawn #4 Women's Locker High,West Lawn,1.10,No
Independence #1 Special Rec,Independence,0.120,No
West Lawn #1 Hallway High,West Lawn,0.659,No
Fuller #2 West Gym,Fuller,0.977,No
Humboldt #2 Main West,Humboldt,4.22,No
West Lawn #6 Women's Locker Low,West Lawn,0.867,No
Davis Sq #1 Elevator,Davis Sq,0.120,No
Trumbull #3 North Gym,Trumbull,1.28,No
LF #4 Montrose,LF,5.44,No
Washtenaw Club Room #2,Washtenaw Club Room,16.9,Yes
Washtenaw Club Room #3,Washtenaw Club Room,25.9,Yes
Jefferson #4 Pool,Jefferson,0.576,No
Washtenaw Club Room #1,Washtenaw Club Room,121,Yes
Lindblum #1 Lobby High,Lindblum,0.189,No
RS #1 Outside Gym,RS,8.28,No
Gill #1 1st Floor High,Gill,0.120,No
W Pullman #3 Near Gym,W Pullman,0.289,No
Horner #2 Gym,Horner,1.62,No
