"school","pdf"
"CDPH Lead Resources","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/CDPH_LeadResources.pdf"
"here","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/CommunityMeetingsLead.pdf"
"Addams","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Addams_609772.pdf"
"Alcott","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_Alcott_609774.pdf"
"Armour","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_Armour_609777.pdf"
"Armstrong, G","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_ArmstrongG_609779.pdf"
"Audubon","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Audubon_609782.pdf"
"Barton","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_Barton_609790.pdf"
"Bass","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_Bass_609791.pdf"
"Bateman","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Bateman_609792.pdf"
"Beard","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Beard_610083.pdf"
"Beasley","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Beasley_610246.pdf"
"Beethoven","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Beethoven_610237.pdf"
"Beidler","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Beidler_609797.pdf"
"Blaine","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Blaine_609803.pdf"
"Blair","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Blair_610087.pdf"
"Bouchet","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Bouchet_609815.pdf"
"Brentano","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Brentano_609809.pdf"
"Bridge","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_bridge_609810.pdf"
"Brown R","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_BrownR_610091.pdf"
"Budlong","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Budlong_609817.pdf"
"Burbank","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Burbank_609818.pdf"
"Burke","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Burke_609819.pdf"
"Burley","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Burley_609820.pdf"
"Burr","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Burr_609828.pdf"
"Burroughs","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Burroughs_609829.pdf"
"Cameron","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Cameron_609835.pdf"
"Camras","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Camras_610539.pdf"
"Canty","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Canty_609836.pdf"
"Cardenas","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_cardenas_610024.pdf"
"Carson","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_carson_609842.pdf"
"Carver","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Carver_609845.pdf"
"Cather","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Cather_610251.pdf"
"Chalmers","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_Chalmers_609851.pdf"
"Chappell","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Chappell_609852.pdf"
"Chase","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Chase_609853.pdf"
"Chicago Academy ES","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_ChicagoAcademyES_610248.pdf"
"Chopin","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Chopin_609854.pdf"
"Cleveland","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_cleveland_609857.pdf"
"Clinton","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Clinton_609859.pdf"
"Coles","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Coles_609862.pdf"
"Columbia Explorers","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_ColumbiaExplorers_610170.pdf"
"Coonley","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Coonley_609866.pdf"
"Cooper","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_cooper_609867.pdf"
"Courtenay","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_courtenay_610355.pdf"
"Crown","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Crown_609873.pdf"
"Darwin","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Darwin_609875.pdf"
"Dawes","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Dawes_609879.pdf"
"De Diego","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_DeDiego_610313.pdf"
"Deneen","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Deneen_609883.pdf"
"Dett","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Dett_610252.pdf"
"Dewey","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_dewey_609885.pdf"
"Dirksen","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Dirksen_609874.pdf"
"Disney","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Disney_610363.pdf"
"Disney II","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_DisneyII_610515.pdf"
"Donoghue","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_Donoghue_400075.pdf"
"Dulles","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Dulles_610263.pdf"
"Durkin Park","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_DurkinPark_610352.pdf"
"Dvorak","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_dvorak_610254.pdf"
"Earle","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Earle_609897.pdf"
"Ericson","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Ericson_609907.pdf"
"Esmond","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Esmond_609908.pdf"
"Everett","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Everett_609909.pdf"
"Evers","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Evers_610362.pdf"
"Fairfield","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_Fairfield_610057.pdf"
"Falconer","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Falconer_609910.pdf"
